y,Authors (year),Authors complete,Title,Journal/ Conference proceedings,Publication year,Publisher,NLP technology / approach,TA technique coding,Data source,Data source coding,Functionality,Functionality coding,Public service value,Public service value coding,Public value_specified,Public value_specified coding,Co-creation phase,Co-creation phase coding,Co-creation mechanism,Co-creation mechanism coding,Public service,Problem addressed,Public service_specified,Public service coding,Benefit,Country beneficiary,Research method,Stakeholders,,,,,
P1,Bello (2022),"Bello, Umar",Metaphors we are robbed by: A critical discourse analysis of 'the national cake' and Nigeria's prebendal elite,Text and Talk,2022,De Gruyter Mouton,Keyword and context extraction from newspapers and blogs,TA8. Information extraction,Newspapers and blogs,DS2. Social media,Automation of content analysis and extraction; identification of corruption,F1. Automatic content analysis and extraction; F2. Patterns identification,societal value; citizen value,SV. Societal value; CV. Citizen value,increase trust in public sector; transparency,SV2. Increase trust in public service; CV1. CV1. Transparency,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Politics,Corruption identification,policy-making,PS4. Policy-making,Dealing with corruption,Nigeria,qualitative; exploratory,citizens; government agencies; community leaders,,,,,
P2,Hu and Zheng (2021),"Hu, Qian; Zheng, Yueping",Smart city initiatives: A comparative study of American and Chinese cities,Journal of Urban Affairs,2021,Taylor & Francis,Text mining and content analysis of smart city initiatives,TA1. Machine learning,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; analysis of smart city initiatives,F1. Automatic content analysis and extraction,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,best practices & lessons learned; learning from each other,SV5. Best practices & lessons learned; SV4. Learning from each other,Co-design,P1. Co-design,Informing,M1_2. Informing,Smart City,Monitoring of smart city development,generic (wide range of public services),Generic,Smart City development,"USA, China",quantitative; secondary data,citizens; government agencies; technology companies; private sector companies; non-profit organizations,,,,,
P3,Gerontas (2020),"Gerontas, Alexandros",Towards an e-Government semantic interoperability assessment framework,ACM International Conference Proceeding Series,2020,ACM,Question answering; chatbot; similarity matching; semantic similarity; machine learning & rule-based matching,TA1. Machine learning; TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering; feedback provisioning,F3. Question answering;,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,enhance the use of digitalization; better contact with public administration; personalized public service; single line of communication; happier customer; personalized service delivery; increase in number of services delivered; reduction of administrative burden;,EV4. Enhance the use of digitalization and new business models; EV3. Easier to contact with public service; AV2. Single line of communication; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Citizen reporting,M1_1. Consultation and ideation; M3_1. Citizen reporting,eGovernment,Semantic interoperability for integrated public service provisioning,generic (wide range of public services),Generic,Interoperability of public services in EU,EU,quantitative; secondary data; conceptual modeling,government agencies; technology companies; NLP experts,,,,,
P4,"Alguliyev, Aliguliyev, and Niftaliyeva (2018)","Alguliyev, Rasim M.; Aliguliyev, Ramiz M.; Niftaliyeva, Gunay Y.",Filtration of terrorism-related texts in the e-government environment,International Journal of Cyber Warfare and Terrorism,2018,IGI Global,Semantic similarity; text mining,TA1. Machine learning,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; identification of terrorism,F1. Automatic content analysis and extraction; F2. Patterns identification,societal value; citizen value,SV. Societal value; CV. Citizen value,increase trust in the public sector; transparency; security,SV2. Increase trust in public service; CV1. Transparency; SV3. Security,Co-design,P1. Co-design,Informing,M1_2. Informing,eGovernment,Terrorism identification,policy-making,PS4. Policy-making,Dealing with terrorism,n.a.,quantitative; secondary data,citizens; government agencies; non-profit organizations,,,,,
P5,Dumrewal et al. (2018),"Dumrewal, Amol; Basu, Anwesh; Atreja, Shubham; Mohapatra, Prateeti; Aggarwal, Pooja; Dasgupta, Gargi B.",CitiCafe: Conversation-based intelligent platform for citizen engagement,ACM International Conference Proceeding Series,2018,ACM,Text mining; chatbot,TA1. Machine learning; TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering; problem reporting; issue reporting,F3. Question answering,societal value; citizen value,SV. Societal value; CV. Citizen value,happier customer; increase in number of services delivered;,SV1. Satisfied public service user; CV4. Increase in number of services delivered;,Co-design; Co-delivery,P1. Co-design; P2. Co-delivery,Consulting & ideation; crowd-sourcing,M1_1. Consultation and ideation; M2_1. Crowdsourcing,eGovernment,Processing citizens' complaints,generic (civic public services),Generic,Processing citizens' complaints,n.a.,quantitative; secondary data; conceptual modeling,citizens; government agencies; technology companies; NLP experts,,,,,
P6,Moreira Valle et al. (2022),"Moreira Valle, Letícia; Giacomazzi Dantas, Stefano; Guerreiro E Silva, Daniel; Silva Dias, Ugo; Monteiro Monasterio, Leonardo",RegBR: A novel Brazilian government framework to classify and analyze industry-specific regulations,PLOS ONE,2022,Public Library of Science,NLP models; classification,TA1. Machine learning,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; analysis of regulations,F1. Automatic content analysis and extraction,economic value; administrative value; citizen value,EV. Economic value; AV. Administrative value; CV. Citizen value,increased efficiency; time saving for the authorities; better rules and regulation; transparency;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; AV1. Better rules and regulation; CV1. Transparency;,Co-design,P1. Co-design,Informing,M1_2. Informing,eGovernment; Politics,Openness and transparancy of legislation,justice,PS2. Justice,Legislation transparancy,Brazil,quantitative; secondary data;,private sector companies; government agencies;,,,,,
P7,"Budiharto, Andreas, and Gunawan (2020)","Budiharto, Widodo; Andreas, Vincent; Gunawan, Alexander Agung Santoso",Deep learning-based question answering system for intelligent humanoid robot,Journal of Big Data,2020,Springer,Robots; deep learning; question answering,TA2. Chatbot; TA9. Humanoid robots; TA7. Artificial Neural Networks,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,better contact with public administration; happier customer; reduction of administrative burden;,EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Humanoid robots assisting human workers in public service area making it more customer friendly,generic (wide range of public services),Generic,Humanoid robot-assisted service,n.a.,qualitative; prototyping,citizens; government agencies; technology companies; private sector companies; academic institutions,,,,,
P8,"Jati, Widyawan, and Muhammad Nur Rizal (2020)","Jati, Budi Sulistiyo; Widyawan, S. T.; Muhammad Nur Rizal, S. T.",Multilingual Named Entity Recognition model for Indonesian health insurance question answering system,"2020 3rd International Conference on Information and Communications Technology, ICOIACT 2020",2020,IEEE,BERT; NER; question answering,TA2. Chatbot; TA7. Artificial Neural Networks; TA8. Information extraction,User generated (text or speech),DS1. User generated (text or speech),Question answering; Multiple languages,F3. Question answering; F10. Multilingual support,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; happier customer; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Health,Health insurance question answering system,health insurance,PS1. Health,Assisting with health insurance related questions,Indonesia,quantitative; secondary data; computer modeling,citizens; government agencies; private sector companies;,,,,,
P9,Muktafin and Kusrini (2021),"Muktafin, Elik Hari; Kusrini, Pramono",Sentiments analysis of customer satisfaction in public services using K-nearest neighbors algorithm and natural language processing approach,Telkomnika (Telecommunication Computing Electronics and Control),2021,Universitas Ahmad Dahlan,Sentiment; kNN; TF-IDF,TA3. Sentiment analysis;,Open-ended question survey,DS3. Open-ended question survey,Automation of content analysis and extraction; identification of customer satisfaction,F1. Automatic content analysis and extraction; F2. Patterns identification; F5. Measuring user satisfaction,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; happier customer;,EV1. Increased efficiency; SV1. Satisfied public service user;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Citizen reporting,M1_1. Consultation and ideation; M3_1. Citizen reporting,Generic,Customer satisfaction by public services,generic (civic public services),Generic,Improving customer satisfaction,n.a.,quantitative; secondary data;,citizens; government agencies;,,,,,
P10,Stamatis et al. (2020),"Stamatis, Anestis; Gerontas, Alexandros; Dasyras, Anastasios; Tambouris, Efthimios",Using chatbots and life events to provide public service information,ACM International Conference Proceeding Series,2020,ACM,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; happier customer; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; SV1. Satisfied public service user; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,eGovernment,User-centric life events based public service provisioning using chatbots,Family,PS5. Family,Public service information provisioning,Greece,quantitative; secondary data; conceptual modeling,citizens; government agencies;,,,,,
